model,epoch_loss,test_f1_loss,epoch_f1,test_f1_f1,epoch_best,test_best_f1
mbert_finetune_small_24h_vocab_max/checkpoint-1500_small75,1.0,65.92444818281025,2.0,77.37373737373737,2.0,77.37373737373737
mbert_finetune_small_24h_vocab_max/checkpoint-500_small,2.0,75.44589439871513,2.0,75.44589439871513,2.0,75.44589439871513
mbert_finetune_small_24h_vocab_max/checkpoint-500_small25,2.0,68.14268837777546,5.0,70.58161350844279,5.0,70.58161350844279
mbert_finetune_small_24h_vocab_max/checkpoint-500_small50,1.0,61.860511293124844,4.0,72.04597701149426,2.0,72.89174641148325
mbert_finetune_small_24h_vocab_max/checkpoint-500_small75,1.0,64.46159039398178,3.0,75.42767015812674,3.0,75.42767015812674
mbert_finetune_small_24h_vocab_max_small,1.0,72.72349272349273,9.0,74.10172808125739,3.0,74.12918524430393
mbert_finetune_small_24h_vocab_max_small25,2.0,70.45142308300203,2.0,70.45142308300203,8.0,72.51602564102564
mbert_finetune_small_24h_vocab_max_small50,2.0,71.69643159331672,1.0,68.17951664885109,3.0,76.40991209419722
mbert_finetune_small_24h_vocab_max_small75,2.0,74.34240932131195,5.0,73.7844217151849,8.0,75.61531086211639
mbert_finetune_small_24h_vocab_random,2.0,61.05289479387201,9.0,68.8258242476316,9.0,68.8258242476316
mbert_finetune_small_24h_vocab_random/checkpoint-1000_small,1.0,65.56224899598394,9.0,75.19189939572107,9.0,75.19189939572107
mbert_finetune_small_24h_vocab_random/checkpoint-1000_small25,2.0,62.61044176706827,4.0,70.70553935860059,4.0,70.70553935860059
mbert_finetune_small_24h_vocab_random/checkpoint-1000_small50,2.0,72.79270544416099,7.0,70.20823833409334,2.0,72.79270544416099
mbert_finetune_small_24h_vocab_random/checkpoint-1000_small75,2.0,68.91650393514409,2.0,68.91650393514409,3.0,74.7001998667555
mbert_finetune_small_24h_vocab_random/checkpoint-1500_small,1.0,72.98078454654716,3.0,74.89211600093083,4.0,75.56797020484171
mbert_finetune_small_24h_vocab_random/checkpoint-1500_small25,1.0,63.192130731397754,3.0,71.38317516210762,2.0,72.24232887490165
